	B1	B2	B3	B4	BW1	BW2	R10	R11	R11BF	R12	R1A	R1B	R2	R3	R4	R5	R6	R7	R8	R9
ASV_1	0	0	0	0	0	0	0	4	1761	4	0	0	3	0	5	7	4	2	2	0
ASV_2	0	0	0	0	0	0	457	130	1	78	43	38	90	148	159	71	8	0	178	159
ASV_3	0	0	0	1	0	1	44	26	0	147	202	153	154	68	113	140	193	5	39	19
ASV_4	0	0	1	0	0	0	392	236	0	6	2	0	38	64	62	56	0	0	260	160
ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1193
ASV_6	0	0	0	0	0	0	76	82	4	74	64	74	115	128	155	108	122	81	38	56
ASV_7	0	0	0	0	0	0	160	48	0	117	71	81	125	90	166	78	29	0	123	29
ASV_8	0	0	0	0	0	1	11	0	3	77	115	80	104	94	213	107	77	0	98	134
ASV_9	0	0	0	0	0	0	11	8	3	76	183	257	72	41	111	149	129	49	0	11
ASV_10	0	0	0	0	0	0	5	4	0	71	70	102	118	116	284	154	87	48	0	5
ASV_11	2	0	0	0	0	4	130	147	332	66	39	29	55	22	28	30	19	10	78	71
ASV_12	0	0	0	0	0	0	13	0	0	61	66	111	98	132	176	128	96	0	101	19
ASV_13	0	0	0	0	0	0	0	6	2	134	76	116	246	15	197	93	42	0	0	19
ASV_14	0	0	0	0	1	7	28	34	17	93	172	129	96	48	30	77	51	65	29	6
ASV_15	0	0	0	0	0	0	15	27	0	89	122	114	89	54	126	107	77	26	11	22
ASV_16	0	0	0	0	0	0	243	91	0	31	15	27	113	79	69	113	5	12	25	53
ASV_17	0	0	0	1	0	0	0	0	849	0	0	2	15	0	6	0	0	0	0	0
ASV_18	0	0	0	0	0	0	57	117	35	91	61	68	75	47	40	116	24	24	65	38
ASV_19	0	0	0	0	0	0	61	93	0	98	83	98	56	61	37	75	102	20	19	48
ASV_20	0	0	0	0	0	0	46	7	0	35	53	79	187	101	143	62	44	0	31	40
ASV_21	0	0	0	0	0	0	92	314	0	38	31	23	41	56	0	63	9	2	105	25
ASV_22	0	0	0	0	0	0	131	32	3	20	34	88	73	66	57	99	55	49	55	6
ASV_23	0	0	0	0	0	0	29	20	0	79	93	110	80	66	85	67	72	9	41	12
ASV_24	0	0	0	0	0	0	12	7	0	58	58	67	85	61	138	119	46	91	0	7
ASV_25	0	0	0	0	0	0	5	0	0	52	50	36	126	112	181	81	34	3	13	51
ASV_26	0	0	0	0	0	0	33	16	0	60	78	80	67	74	73	99	27	17	92	24
ASV_27	0	0	0	0	0	0	31	0	0	86	99	102	55	39	57	48	138	0	0	49
ASV_28	0	0	0	0	0	0	3	0	1	21	28	26	84	58	217	116	45	64	4	27
ASV_29	0	0	0	0	0	0	14	14	0	63	71	80	103	54	33	53	64	65	38	31
ASV_30	0	0	0	0	0	0	82	7	0	47	40	44	17	36	35	54	18	0	266	32
ASV_31	0	0	0	0	0	0	227	92	0	11	39	32	31	17	14	43	3	0	134	14
ASV_32	0	0	0	0	0	0	0	0	0	41	25	70	104	82	168	60	49	0	32	15
ASV_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	632
ASV_34	0	0	0	0	0	0	31	30	0	72	78	78	91	52	53	39	24	47	35	0
ASV_35	0	0	0	0	0	0	0	0	0	8	15	49	116	98	237	41	35	0	8	7
ASV_36	0	0	0	0	0	0	301	26	0	0	3	9	70	10	53	66	22	0	32	19
ASV_37	0	0	0	0	0	2	0	0	0	123	72	49	68	41	25	32	191	0	6	0
ASV_38	0	0	0	0	0	0	7	4	0	29	43	67	71	36	81	95	53	41	48	32
ASV_39	0	0	0	0	0	1	6	38	0	93	74	87	46	66	46	75	29	0	32	13
ASV_40	0	0	0	0	0	2	43	18	273	45	33	43	23	31	6	8	19	22	0	35
ASV_41	0	0	0	0	0	0	3	4	0	62	49	99	92	35	94	59	64	13	2	25
ASV_42	0	0	0	0	0	0	153	22	0	21	48	78	60	27	39	23	20	60	24	24
ASV_43	0	0	0	0	0	0	213	233	0	0	0	0	0	6	0	49	0	0	10	87
ASV_44	0	0	0	0	0	0	0	0	0	53	61	61	25	123	154	28	70	0	21	0
ASV_45	0	0	0	0	1	0	11	0	0	24	95	53	100	27	136	30	45	0	5	67
ASV_46	0	0	0	0	0	0	105	108	11	78	38	51	33	18	20	48	19	22	22	19
ASV_47	0	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	3	0	1	134	42	87	83	35	73	14	90	3	0	7
ASV_49	0	0	0	0	0	0	6	15	0	76	45	57	91	33	53	73	69	2	27	7
ASV_50	0	0	0	0	0	0	97	17	0	56	36	16	25	56	90	102	11	0	4	30
ASV_51	0	0	0	0	0	0	45	0	0	21	72	81	55	78	86	37	28	0	0	34
ASV_52	0	0	0	0	63	469	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_53	0	0	0	0	0	0	62	31	0	13	2	11	79	140	29	65	13	0	66	15
ASV_54	0	0	0	0	0	0	5	36	0	38	12	13	95	63	51	144	28	0	26	8
ASV_55	0	0	0	0	0	0	35	14	0	70	30	44	37	46	29	41	43	120	0	8
ASV_56	0	0	0	0	0	0	0	0	0	11	29	38	80	98	199	49	0	0	0	6
ASV_57	0	0	0	0	0	0	0	4	0	53	14	0	23	31	17	21	220	112	12	2
ASV_58	0	0	0	0	0	0	98	81	9	21	5	11	14	27	42	52	0	0	82	58
ASV_59	0	0	0	0	0	0	0	0	0	0	0	7	41	31	376	20	0	0	0	24
ASV_60	0	0	0	0	0	0	158	175	0	0	0	0	11	10	20	15	0	0	57	44
ASV_61	0	0	0	0	0	0	40	324	0	0	0	0	14	27	16	59	0	1	0	9
ASV_62	0	0	0	0	0	0	0	0	0	0	0	2	44	77	149	45	21	0	0	151
ASV_63	0	0	0	0	0	0	25	14	0	63	45	42	85	62	23	34	60	22	0	10
ASV_64	0	0	0	0	0	0	8	0	0	121	21	42	48	21	41	45	124	0	0	8
ASV_65	0	0	0	0	0	0	51	37	0	68	18	26	53	69	19	57	22	14	18	17
ASV_66	0	0	0	0	0	0	53	142	0	41	18	12	25	16	30	15	0	0	100	13
ASV_67	0	0	0	0	0	0	80	40	0	62	21	44	83	25	37	35	9	9	14	0
ASV_68	0	0	0	0	0	0	0	0	0	65	32	47	74	72	101	51	7	0	9	0
ASV_69	0	0	0	0	0	0	28	43	0	51	20	32	63	52	48	52	20	0	6	38
ASV_70	0	0	0	0	0	0	11	0	0	0	11	32	42	96	94	37	30	0	89	11
ASV_71	0	0	0	0	0	0	52	7	0	83	34	56	58	42	40	22	30	1	0	27
ASV_72	0	0	0	0	0	0	6	0	0	0	0	9	151	37	178	57	9	0	4	0
ASV_73	0	0	0	0	0	0	125	45	0	25	0	0	41	0	29	20	0	0	66	77
ASV_74	0	0	0	0	0	0	5	1	0	75	81	60	35	12	83	33	21	4	6	11
ASV_75	0	0	0	0	0	0	0	0	0	102	38	38	45	31	0	42	105	12	12	0
ASV_76	0	0	0	0	0	0	10	11	0	35	50	62	29	18	53	47	51	16	9	15
ASV_77	0	84	0	30	132	0	0	13	0	29	0	0	0	43	0	0	12	20	4	37
ASV_78	0	0	0	0	0	0	0	0	0	55	66	75	25	8	13	24	127	10	0	0
ASV_79	0	0	0	0	0	0	0	0	0	18	26	82	13	104	24	83	53	0	0	0
ASV_80	0	0	0	0	0	0	36	28	0	32	51	77	26	6	36	28	41	16	17	3
ASV_81	0	0	0	0	0	0	1	0	0	25	32	60	81	27	111	21	36	0	0	0
ASV_82	0	0	0	0	0	0	0	0	0	45	64	74	36	40	19	40	48	3	14	3
ASV_83	0	0	0	0	0	0	0	0	0	32	5	6	60	62	111	57	18	5	0	27
ASV_84	0	0	0	0	0	0	30	25	4	54	39	55	7	65	0	21	22	46	0	10
ASV_85	0	0	0	0	0	3	2	7	0	108	18	18	26	18	32	49	40	37	5	8
ASV_86	0	0	0	0	0	0	58	0	0	45	9	22	34	57	38	69	3	0	28	7
ASV_87	0	0	0	0	0	0	3	3	0	16	8	25	49	31	160	28	15	0	0	27
ASV_88	0	0	0	0	0	0	0	0	0	73	25	51	84	9	9	29	64	0	0	1
ASV_89	0	0	0	0	0	0	42	92	0	0	0	0	0	0	0	0	0	0	161	48
ASV_90	0	0	0	0	0	0	3	8	0	18	12	19	46	181	8	26	14	0	5	0
ASV_91	0	0	0	0	0	0	0	0	0	0	10	13	72	16	229	0	0	0	0	0
ASV_92	0	0	0	0	0	0	6	0	1	69	13	34	54	27	39	45	34	0	17	0
ASV_93	0	0	0	0	0	0	0	0	0	0	10	40	37	52	135	36	0	25	0	0
ASV_94	0	0	0	0	0	0	159	111	0	0	0	0	0	3	0	7	0	0	38	12
ASV_95	0	0	0	0	0	0	3	0	2	0	0	1	0	233	1	31	0	13	43	1
ASV_96	0	0	0	0	0	0	0	0	0	0	0	11	0	177	27	91	0	0	21	0
ASV_97	0	0	0	0	0	0	127	75	0	4	0	0	11	5	2	6	0	0	74	22
ASV_98	0	0	0	0	0	0	70	39	0	0	0	0	18	0	9	6	0	0	132	52
ASV_99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0
ASV_100	0	0	0	0	0	0	23	10	0	3	0	4	17	27	20	37	7	0	176	0
ASV_101	0	0	0	0	0	0	105	60	1	0	0	0	13	18	20	0	0	0	41	65
ASV_102	0	0	0	0	0	0	0	6	0	59	30	40	31	37	16	34	45	8	7	8
ASV_103	0	0	0	0	0	0	31	0	0	17	19	40	45	33	68	34	9	0	0	24
ASV_104	107	52	70	14	62	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ASV_105	0	0	0	101	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	0	0	0	0	0	0	42	120	0	16	38	3	0	1	0	49	0	0	20	28
ASV_107	0	0	0	0	0	0	0	0	0	22	60	57	30	0	13	47	80	0	0	8
ASV_108	0	0	0	1	0	0	0	0	0	81	47	36	21	0	0	13	114	0	1	0
ASV_109	0	0	0	0	0	0	0	0	0	21	40	59	45	20	13	33	29	12	38	0
ASV_110	0	0	0	0	0	0	0	0	0	0	4	8	35	80	123	39	5	12	0	0
ASV_111	0	0	0	0	0	0	22	0	0	27	32	33	41	17	59	7	19	26	0	22
ASV_112	0	0	0	0	0	0	0	11	0	15	27	32	19	54	65	16	24	29	10	2
ASV_113	0	0	0	0	0	0	13	4	0	8	28	38	37	19	53	43	28	21	3	4
ASV_114	0	0	0	0	0	0	0	8	0	40	20	34	26	19	4	34	24	13	60	13
ASV_115	0	0	0	0	0	5	0	0	0	77	65	61	13	7	3	27	32	4	0	0
ASV_116	0	0	0	0	0	0	9	11	0	38	36	48	40	11	39	25	21	12	0	3
ASV_117	0	0	0	0	0	0	0	0	0	57	13	12	26	78	13	78	0	0	5	6
ASV_118	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_119	0	0	0	0	0	0	0	0	79	28	20	21	12	0	15	27	17	0	60	0
ASV_120	0	0	0	0	0	0	0	0	0	23	9	7	48	64	76	42	6	0	0	3
ASV_121	0	0	0	0	0	0	0	0	0	45	22	25	21	11	54	22	63	7	6	0
ASV_122	0	0	0	0	0	0	9	91	0	0	0	0	29	26	44	50	0	0	19	6
ASV_123	0	0	0	0	0	0	7	12	0	10	16	47	43	17	13	19	0	60	12	18
ASV_124	0	0	0	0	0	0	27	0	0	19	39	46	37	27	0	28	32	0	15	0
ASV_125	0	0	0	0	0	0	0	0	0	21	13	18	30	75	6	24	73	0	10	0
ASV_126	0	0	0	0	0	0	0	0	0	0	0	58	80	26	60	8	30	0	0	2
ASV_127	0	0	0	0	0	0	0	0	0	36	23	36	71	18	46	16	11	5	0	0
ASV_128	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	10	0	0	168	0
ASV_129	0	0	0	0	0	0	25	23	0	37	23	32	17	18	20	24	17	25	0	0
ASV_130	0	0	0	0	0	0	4	0	0	28	24	40	33	8	34	32	30	15	3	10
ASV_131	0	0	0	0	0	0	10	15	0	20	30	34	24	0	26	20	28	7	44	0
ASV_132	0	0	0	0	0	0	0	14	0	20	8	7	71	46	36	26	23	3	0	0
ASV_133	0	0	0	0	0	0	0	2	0	6	4	10	34	74	107	12	0	0	0	5
ASV_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254
ASV_135	0	0	0	0	0	0	0	2	0	20	61	93	28	0	23	7	18	0	0	0
ASV_136	0	0	0	0	0	0	0	11	0	13	21	34	9	19	2	7	0	0	135	0
ASV_137	0	0	0	0	0	0	6	7	0	56	28	26	23	33	6	32	15	15	3	0
ASV_138	0	0	0	0	0	0	5	0	0	42	19	38	11	14	15	29	77	0	0	0
ASV_139	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0
ASV_140	0	1	0	0	22	0	0	0	0	31	14	13	36	53	4	22	0	33	0	19
ASV_141	0	0	0	0	0	0	71	14	2	35	10	6	13	18	0	43	13	0	0	21
ASV_142	0	0	0	0	0	0	0	0	0	35	22	52	34	16	0	30	50	0	1	6
ASV_143	0	0	0	0	0	0	52	0	0	0	0	0	0	101	3	82	0	0	4	2
ASV_144	0	0	0	0	0	0	28	12	0	34	0	30	31	0	40	27	21	7	0	9
ASV_145	0	0	0	0	0	0	0	0	0	6	1	0	16	36	120	31	13	0	16	0
ASV_146	0	0	0	0	0	0	0	0	0	0	28	28	6	75	72	19	0	11	0	0
ASV_147	0	0	0	0	0	0	2	0	0	15	22	26	33	12	11	23	90	0	0	2
ASV_148	0	0	0	0	0	0	5	28	0	33	25	14	31	8	15	42	22	8	0	4
ASV_149	0	0	0	0	0	0	20	0	0	20	14	18	45	45	16	38	13	0	4	0
ASV_150	2	0	0	0	0	0	31	31	17	30	15	23	22	10	11	15	7	18	0	0
ASV_151	0	0	0	0	0	0	23	0	0	18	34	36	16	16	33	14	28	12	0	0
