	domain	phylum	class	order	family	genus	species
ASV_1	NA	NA	NA	NA	NA	NA	NA
ASV_2	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA
ASV_3	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_4	Bacteria	Proteobacteria	Gammaproteobacteria	pItb-vmat-80	NA	NA	NA
ASV_5	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353 marine group	NA	NA	NA
ASV_6	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA
ASV_7	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8	NA	NA	NA
ASV_8	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA	NA
ASV_10	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_11	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_12	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA
ASV_13	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	NA	NA	NA
ASV_14	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_15	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_16	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8	NA	NA	NA
ASV_17	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_18	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_19	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA
ASV_20	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopelagicus	NA
ASV_21	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7 clade	NA
ASV_22	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_23	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	NA
ASV_24	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_25	Bacteria	SAR324 clade(Marine group B)	NA	NA	NA	NA	NA
ASV_26	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
ASV_27	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_28	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_29	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_30	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
ASV_31	NA	NA	NA	NA	NA	NA	NA
ASV_32	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_33	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA	NA
ASV_34	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_35	Bacteria	Proteobacteria	Gammaproteobacteria	MBMPE27	NA	NA	NA
ASV_36	Bacteria	NA	NA	NA	NA	NA	NA
ASV_37	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_38	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17	NA	NA	NA
ASV_39	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA
ASV_40	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_41	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA	NA
ASV_42	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	NA
ASV_43	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7 clade	NA
ASV_44	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA	NA
ASV_45	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_46	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA
ASV_47	NA	NA	NA	NA	NA	NA	NA
ASV_48	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA	NA
ASV_49	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_50	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_51	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	HTCC5015	NA
ASV_52	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Salinicola	NA
ASV_53	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_54	Bacteria	Proteobacteria	Gammaproteobacteria	MBAE14	NA	NA	NA
ASV_55	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_56	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_57	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA	NA
ASV_58	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_59	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_60	Bacteria	Proteobacteria	Gammaproteobacteria	MBAE14	NA	NA	NA
ASV_61	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA
